,ID,Address,Rental Price,Rooms,Bath,SQFT
393,3984052,250 E Houston Street #PHE,7700.0,2.0,2.0,941.0
394,4006666,57 Second Avenue #51,6295.0,3.0,2.0,
395,3983538,350 East 13th Street #1,6300.0,3.0,1.0,
396,3984052,250 E Houston Street #PHE,7700.0,2.0,2.0,941.0
397,3979697,9 Avenue A #2,6350.0,4.0,1.0,
398,4009284,215 East 3rd Street #2F,6395.0,4.0,2.0,
399,3996565,337 East 13th Street #8,7200.0,4.0,1.0,
400,3981077,205 Avenue A #2A,6500.0,3.0,2.0,
401,4008816,617 East 11th Street #C4,6500.0,3.0,2.0,1261.0
402,4004109,27 Saint Marks Place #3A,9000.0,4.0,2.0,
403,3956936,116 Avenue C #2,7500.0,4.0,2.0,
404,3970571,346 East 13th Street #13,6800.0,4.0,1.0,
405,3969534,245 East 10th Street #4,7750.0,3.0,1.0,
406,3969110,229 1st Avenue #3B,3650.0,1.0,1.0,400.0
407,3987486,250 E Houston Street #5G,5375.0,1.0,1.0,
408,3891270,343 E 5th Street #B,6895.0,0.0,1.5,
409,4007936,118 E 7th Street #1W,6895.0,4.0,1.5,
410,3984052,250 E Houston Street #PHE,7700.0,2.0,2.0,941.0
411,3984052,250 E Houston Street #PHE,7700.0,2.0,2.0,941.0
412,3859680,147 Avenue A #1R,6995.0,5.0,1.5,
413,3999552,522 East 11th Street #1,6995.0,4.0,2.0,1000.0
414,3997654,413 East 12th Street #1,7250.0,4.0,2.0,
415,4001707,75 Second Avenue #3A,7250.0,5.0,2.0,1200.0
416,3995778,199 East 3rd Street #5B,7295.0,4.0,2.0,
417,4007529,104 East 4th Street #D2,7795.0,5.0,3.0,
418,4003934,62 Avenue B #6J,7400.0,3.0,2.0,
419,3987723,251 East 2nd Street #3F,7895.0,2.0,2.0,
420,4007094,77 East 3rd Street #16D,3499.0,2.0,1.0,
421,3987486,250 E Houston Street #5G,5375.0,1.0,1.0,
422,3859683,325 E 5th Street #A1,7495.0,5.0,2.5,
423,4005625,330 East 6th Street #1G,7495.0,4.0,2.5,
424,3984052,250 E Houston Street #PHE,7700.0,2.0,2.0,941.0
